ID,time,code,total,man15~19,man20~24,man25~29,man30~34,man35~39,man40~44,woman15~19,woman20~24,woman25~29,woman30~34,woman35~39,woman40~44,mztotal
20210905,1,11215,355627.2572,9182.7805,13797.6948,17397.8558,14756.3573,14920.8794,13125.8952,9472.2424,18124.7294,18726.2846,15414.5247,15566.9224,13251.2333,173737.3998
20210905,1,11230,340985.9678,8169.8794,14808.2897,15495.2926,12022.9199,14166.1606,12541.1004,9216.1092,20014.3442,14749.9753,12466.998,13828.5719,11779.1796,159258.8208
20210905,1,11260,372944.3282,8095.2615,10309.4223,13531.5534,13464.257,15612.6859,14309.5056,7892.5315,12055.6767,14882.3767,13741.7373,15636.7036,13375.7159,152907.4274
20210905,1,11290,426476.9432,12385.359,15395.2787,15832.0307,13116.5075,15640.4626,15075.1967,12979.4236,20965.6371,15947.3199,13975.1389,17489.6363,15905.5974,184707.5884
20210905,1,11305,313276.3483,7638.0131,9267.5334,10872.1553,9549.2599,11463.3749,11189.021,7234.2086,11766.4107,10964.8604,9358.2438,11339.4366,10414.8958,121057.4135
20210905,1,11320,290340.9873,7573.3468,7994.8341,9341.5413,8562.7794,10991.85,9963.8121,6939.7505,9206.021,9972.9739,9004.1037,10494.1883,9711.3914,109756.5925
20210905,1,11350,529589.1515,19040.9788,18600.8835,16182.6277,14657.6924,17473.593,17925.6166,17283.4103,19409.5422,16017.2253,15800.7741,18820.6491,19808.3098,211021.3028
20210905,1,11380,464399.0793,12311.8516,12513.6825,15251.5277,15291.1347,18621.7561,17830.7929,12246.5202,15324.0432,17590.0459,17422.9991,20811.8269,18299.5244,193515.7052
20210905,1,11410,345004.8423,8232.6041,12183.0183,14462.1311,12115.249,14043.8655,12879.4331,10220.805,19145.5777,16162.616,13469.9955,14955.3303,12671.6112,160542.2368
20210905,1,11440,402521.6949,9484.9362,13637.917,17925.7341,16955.9864,20092.1309,16805.0925,10010.092,19883.6667,21873.7758,19631.7561,21061.1145,17205.9448,204568.147
20210905,1,11470,393163.6568,15048.84,10029.5917,11669.5698,11173.5001,14152.258,14911.812,13160.3355,11544.035,12283.791,12097.0355,15278.8789,16922.4809,158272.1284
20210905,1,11500,544490.0311,12683.7975,13573.8273,21475.1912,23864.4185,26426.2587,22531.8627,12455.4396,17801.9977,25265.8961,25076.1371,25655.578,21456.2663,248266.6707
20210905,1,11530,380979.3264,8399.4659,9377.1057,13706.9334,15213.6806,17897.7719,16248.8668,8342.0978,11623.8917,13994.0177,14819.0539,16840.9836,14763.7398,161227.6088
20210905,1,11545,198088.2448,3626.3657,5805.9422,9871.9083,9657.2468,10184.8283,8248.8856,3500.2317,6768.0225,9109.2828,8546.3101,8323.2142,6917.216,90559.4542
20210905,1,11560,402669.5053,7857.8316,10600.9931,17962.3964,20042.0989,21705.8215,17410.1901,7304.9973,13550.8063,19847.6151,19858.5101,20045.7972,15442.5993,191629.6569
20210905,1,11590,393806.9197,9133.6374,14078.9603,19149.0093,16732.1471,16781.4202,14691.0235,9310.9458,17525.8289,18324.3774,15948.9102,16729.2669,14613.9904,183019.5174
20210905,1,11620,493192.2816,10259.2298,21076.0109,35233.5071,28258.808,23320.0205,18613.3111,10028.1965,25768.2816,32185.1964,22654.1485,19643.9452,15998.9523,263039.6079
20210905,1,11650,454502.1948,13990.4727,11805.2276,14135.6969,15389.6166,19172.7949,20560.8403,13622.323,13998.1507,15421.7372,16752.9078,21628.4695,21717.0245,198195.2617
20210905,1,11680,619447.9935,21915.7737,16426.9516,21239.4582,22679.5492,27301.0705,27659.4135,19550.4309,21020.7349,23346.2476,24793.2065,28685.1908,29658.711,284276.7384
20210905,1,11710,712836.296,19607.4214,18059.9798,24182.2392,26797.0484,32281.9692,29541.4018,18980.4742,21803.308,27817.6438,29436.7288,35130.6486,30722.2147,314361.0779
20210905,1,11740,526746.048,14841.7324,12856.0562,16712.0609,17580.9687,22188.9981,21841.9037,13284.9977,15293.4429,17934.1883,19602.4012,24177.6975,22230.9876,218545.4352
20210905,2,11110,195406.2233,4771.7488,8117.5874,8759.3409,7043.8173,7583.4211,7081.6346,4982.5664,9566.2326,8293.3692,6873.1743,7606.8686,6896.98,87576.7412
20210905,2,11140,151484.3491,2451.1823,5284.2259,7168.5631,7047.4375,8291.6825,6623.9161,2660.1349,6973.6532,7542.8851,7260.5118,7586.5794,5811.2145,74701.9863
20210905,2,11170,253090.0194,5295.9213,7643.1767,10332.0311,11352.8571,13807.0734,11059.5682,5338.7771,9122.6968,11916.9748,12268.5552,13673.2327,10511.695,122322.5594
20210905,2,11200,317511.3533,6828.3224,10735.3038,13179.9728,12338.8098,15350.0693,13263.3585,7567.0987,12758.7736,13570.6704,14040.2528,16201.4267,12797.1528,148631.2116
20210905,2,11215,355373.7628,9166.1079,13755.5233,17380.0722,14741.1231,14830.3483,13125.7831,9511.0824,18125.5435,18729.8041,15395.2333,15551.9478,13234.6852,173547.2542
20210905,2,11230,341191.6729,8200.0775,14832.5623,15492.0906,12004.271,14236.4353,12521.0637,9199.5372,20032.9201,14800.0114,12453.2398,13878.2297,11741.0921,159391.5307
20210905,2,11260,373695.2102,8115.7243,10389.9453,13622.7602,13561.179,15672.4706,14309.8424,7935.152,12045.2838,14942.7239,13789.5484,15692.905,13412.1541,153489.689
